seed,policy,ep_idx,friction,inertia,noise,reward,violation
0,Oracle,2,1.0,0.8,0.08641427033084204,-0.12253569192611866,0
0,Oracle,3,0.4,2.0,0.06450726596047784,-0.17969869891348025,1
0,Oracle,4,0.7,1.0,0.06496970690294569,-0.12169613353583807,0
0,Oracle,5,1.0,2.0,0.050387751304575394,-0.3118286389142509,1
0,Oracle,6,0.7,2.0,0.08226021519210205,-0.2354474313997591,1
0,Oracle,7,1.0,1.0,0.07507499147026182,-0.15211686184091244,0
0,Oracle,8,1.0,0.8,0.08446942813027605,-0.12076646743544941,0
0,Oracle,9,0.7,2.0,0.0628953801152356,-0.23684542706522133,1
0,Oracle,10,1.0,1.0,0.06402736967522103,-0.15628675907144915,0
0,Oracle,11,0.7,2.0,0.08745118054519381,-0.23635081203751224,1
0,Oracle,12,0.7,1.0,0.07313422658356354,-0.11934250423684915,0
0,Oracle,13,1.0,2.0,0.06896581026143418,-0.3086774051253406,1
0,Oracle,14,0.4,1.0,0.06132902221593049,-0.09529620028498931,0
0,Oracle,15,0.7,0.8,0.0549016167730361,-0.09968926274996509,0
0,Oracle,16,1.0,2.0,0.08590579433436088,-0.3117747426551105,1
0,Oracle,17,0.7,0.8,0.07918750940328462,-0.1035997066298117,0
0,Oracle,18,0.7,0.8,0.05797868584058457,-0.09806730677399231,0
0,Oracle,19,0.4,2.0,0.0760906472546053,-0.17727925647105486,1
0,Oracle,20,0.4,1.0,0.05843248841072939,-0.09710080962252411,0
0,Oracle,21,0.4,1.0,0.08150331379436983,-0.09860847491922095,0
0,Oracle,22,1.0,0.8,0.08818960202900075,-0.12143847912962318,0
0,Oracle,23,1.0,0.8,0.056250277096177366,-0.12451077798973739,0
0,Oracle,24,0.7,1.0,0.05610868180693438,-0.12330956784556982,0
0,Oracle,25,0.7,2.0,0.053436959348887,-0.2286397977480753,0
0,Oracle,26,0.7,1.0,0.07521439148819281,-0.12188681412269887,0
0,Oracle,27,0.7,0.8,0.07108496710962903,-0.10404836978514963,0
0,Oracle,28,1.0,0.8,0.05033883316939512,-0.12397473380011725,0
0,Oracle,29,0.7,0.8,0.07156387365986244,-0.10023585206656271,0
1,Fixed,0,0.7,1.0,0.06748489843769596,-0.24690806308564034,1
1,Fixed,1,0.7,0.8,0.07255569116337275,-0.2045361028941437,1
1,Fixed,2,0.7,2.0,0.06311021345160206,-0.37123726844151284,1
1,Fixed,3,0.7,1.0,0.06363013143814998,-0.24086263340445277,1
1,Fixed,4,1.0,2.0,0.06539624549822166,-0.4422592319429221,1
1,Fixed,5,0.7,2.0,0.06453938748557937,-0.37720121588852473,1
1,Fixed,6,0.7,2.0,0.08475937294384765,-0.3649951666983867,1
1,Fixed,7,0.7,1.0,0.05850854927391651,-0.24102629981066032,1
1,Fixed,8,1.0,2.0,0.057768320172406365,-0.4512000982310245,1
1,Fixed,9,1.0,2.0,0.06892960668515388,-0.4607453449364224,1
1,Fixed,10,1.0,2.0,0.06383680041223927,-0.47581070815242854,1
1,Fixed,11,0.7,1.0,0.05162337064761829,-0.23510924176695783,1
1,Fixed,12,0.7,1.0,0.05037553973248208,-0.2393566138260083,1
1,Fixed,13,0.4,0.8,0.07839658189314819,-0.16091419367261658,0
1,Fixed,14,1.0,1.0,0.0866270999186721,-0.3171309300226888,1
1,Fixed,15,0.4,0.8,0.08911657094491474,-0.1612868055197417,0
1,Fixed,16,1.0,1.0,0.08124530860369882,-0.31550607625613636,1
1,Fixed,17,0.7,0.8,0.055282932775136434,-0.2043987882554419,1
1,Fixed,18,1.0,0.8,0.08648624695200452,-0.2667897053733431,1
1,Fixed,19,0.7,0.8,0.08228029317449974,-0.1930602996638573,1
1,Fixed,20,0.7,2.0,0.057686684378124554,-0.37678166226892074,1
1,Fixed,21,0.7,0.8,0.07617765322390072,-0.20184661018719557,0
1,Fixed,22,0.4,2.0,0.08837395623883515,-0.2532614588415421,1
1,Fixed,23,0.7,0.8,0.06262720779776157,-0.20868705488564787,1
1,Fixed,24,0.4,0.8,0.08169088187300527,-0.1654824793605013,0
1,Fixed,25,0.4,0.8,0.08613618248240137,-0.15828400540280457,0
1,Fixed,26,0.4,2.0,0.08320642255618682,-0.2458023420310962,1
1,Fixed,27,0.4,2.0,0.05898805623891374,-0.24506770220369808,1
1,Fixed,28,0.7,0.8,0.050519383633738785,-0.20212699055751165,1
1,Fixed,29,1.0,0.8,0.08568160332073743,-0.2651223712745586,1
1,EpsilonGreedy,0,0.7,1.0,0.06748489843769596,-0.16041867136654359,0
1,EpsilonGreedy,1,0.7,0.8,0.07255569116337275,-0.1259919527702533,0
1,EpsilonGreedy,2,0.7,2.0,0.06311021345160206,-0.4442276168884891,1
1,EpsilonGreedy,3,0.7,1.0,0.06363013143814998,-0.15573768114267666,0
1,EpsilonGreedy,4,1.0,2.0,0.06539624549822166,-0.37732917178262104,1
1,EpsilonGreedy,5,0.7,2.0,0.06453938748557937,-0.29311799487569484,1
1,EpsilonGreedy,6,0.7,2.0,0.08475937294384765,-0.2950110366568069,1
1,EpsilonGreedy,7,0.7,1.0,0.05850854927391651,-0.15691258925468485,0
1,EpsilonGreedy,8,1.0,2.0,0.057768320172406365,-0.3764380875142324,1
